pitcherid,date,pitchno,pitchno^2,pitchno^3,pitchno,pitch_bucket,relspeed,Dependent Variable,Differential,spinrate,extension,horzbreak,inducedvertbreak,spinaxis,relheight,relside,platelocheight,platelocside
1000125040,10/25/2024,4,16,64,18,FourSeamFastBall,87.74242,87.72495378,1.431228182,2043.011522,6.11869,-20.03662,14.69139,123.682395,5.41838,-3.97266,4.5896,-1.33679
1000100911,10/25/2024,4,16,64,11,FourSeamFastBall,87.0266,87.72495378,-0.273828213,1924.233587,6.18629,14.71509,16.82009,223.463747,5.79161,1.86167,2.59918,0.3479
1000145579,10/27/2024,4,16,64,230,FourSeamFastBall,83.59326,87.72495378,-1.106105357,1796.657474,6.51442,5.95209,19.5421,198.085943,5.83292,0.79871,3.29793,0.06179
1000213387,10/27/2024,4,16,64,320,FourSeamFastBall,86.03401,87.72495378,-1.468021895,2414.387359,5.99134,6.91811,22.97867,197.794785,5.91687,1.49424,2.1361,-1.43229
1000362328,11/1/2024,4,16,64,8,FourSeamFastBall,88.36263,87.72495378,0.106192909,2017.630324,6.87692,10.8539,9.74237,232.061836,5.71829,1.77717,1.38342,0.69841
1000213387,11/1/2024,4,16,64,56,FourSeamFastBall,85.57267,87.72495378,-1.929361895,2427.976371,5.66515,6.26315,17.58422,201.100822,5.8815,1.38532,4.76849,0.22456
10005119,11/1/2024,4,16,64,212,FourSeamFastBall,90.23086,87.72495378,1.299363519,2191.65945,6.16038,-17.27123,14.4869,128.124253,5.85519,-1.26102,3.4428,-0.71804
10109416,11/1/2024,4,16,64,115,FourSeamFastBall,88.70437,87.72495378,1.748978903,2046.244369,5.97,-17.83383,15.01997,127.479658,5.21826,-1.85108,2.37478,-1.36109
1000100911,11/1/2024,4,16,64,280,FourSeamFastBall,88.21478,87.72495378,0.914351787,2178.258648,6.19173,14.3867,19.00473,218.980623,5.77982,1.8936,2.05322,-0.37031
1000362328,1/26/2025,4,16,64,135,FourSeamFastBall,89.03182,87.72495378,0.775382909,2100.929995,6.64696,11.68209,15.62489,218.835035,5.88466,1.39928,3.96168,1.30953
1000100911,1/30/2025,4,16,64,165,FourSeamFastBall,83.66427,87.72495378,-3.636158213,1827.207226,5.84069,17.96871,15.35686,232.324436,5.62178,2.08818,0.30267,0.16978
1000098287,2/1/2025,4,16,64,75,FourSeamFastBall,85.75244,87.72495378,-3.12880125,2028.598926,6.49844,-12.61158,17.66485,142.542649,5.93318,-1.40289,2.71682,-0.22007
1000144733,2/26/2025,4,16,64,286,FourSeamFastBall,88.48898,87.72495378,-0.141647931,2032.427611,6.05875,15.70784,16.5371,225.79252,4.88629,2.04184,2.47809,0.87922
1000392568,2/26/2025,4,16,64,266,FourSeamFastBall,85.85606,87.72495378,-2.28836549,2487.287128,5.71113,6.51587,16.91241,202.664502,6.13533,1.76563,2.98539,-1.03851
10109416,2/28/2025,4,16,64,169,FourSeamFastBall,85.95311,87.72495378,-1.002281097,2158.629462,6.38093,-12.86406,15.67426,137.838262,4.84463,-1.88319,2.14724,1.10824
826147,2/28/2025,4,16,64,236,FourSeamFastBall,88.50221,87.72495378,-0.369712738,2249.350291,7.2168,13.41198,15.94568,222.178386,4.77031,1.70204,1.45971,-1.01147
826147,3/9/2025,4,16,64,113,FourSeamFastBall,89.31386,87.72495378,0.441937262,2172.32952,6.8224,7.76036,11.84831,215.709647,4.75393,1.78716,2.78503,0.53711
10109416,3/9/2025,4,16,64,37,FourSeamFastBall,84.86023,87.72495378,-2.095161097,2054.700627,5.66481,-20.54096,17.90497,128.880541,4.996,-1.9164,2.78316,-1.44631
1000100911,3/14/2025,4,16,64,244,FourSeamFastBall,87.77332,87.72495378,0.472891787,2164.100912,6.42621,10.68953,22.07891,207.330343,5.67131,1.54395,2.11374,0.08171
1000136915,3/23/2025,4,16,64,171,FourSeamFastBall,84.79143,87.72495378,1.116021474,2216.511709,5.27361,-27.25659,14.85985,115.795677,5.59939,-0.94281,2.98478,-2.3495
1000144733,3/26/2025,4,16,64,5,FourSeamFastBall,87.65989,87.72495378,-0.970737931,2069.355252,6.19407,13.49816,11.7817,232.415882,4.92767,1.83547,1.83929,-0.70591
1000125040,4/5/2025,4,16,64,147,FourSeamFastBall,87.56395,87.72495378,1.252758182,2103.779005,6.33196,-12.91816,14.99335,136.603806,5.18949,-4.4059,4.44157,1.40975
1000309668,4/5/2025,4,16,64,59,FourSeamFastBall,89.8994,87.72495378,0.239403889,2280.303534,6.30198,16.24119,17.81647,224.356025,5.61489,1.84531,3.20273,-0.72893
826147,4/15/2025,4,16,64,155,FourSeamFastBall,87.16337,87.72495378,-1.708552738,2153.396137,6.90723,13.66111,11.70701,11.70701,4.82397,1.53036,0,0
1000259684,4/15/2025,4,16,64,308,FourSeamFastBall,89.43726,87.72495378,1.24712691,2122.002454,6.20298,17.37564,18.17489,18.17489,6.00078,1.62133,0,0
1000098287,4/22/2025,4,16,64,200,FourSeamFastBall,90.21882,87.72495378,1.33757875,2362.087956,6.10882,19.57836,9.79599,246.23817,5.22622,1.70627,1.86397,0.11909
826147,4/22/2025,4,16,64,233,FourSeamFastBall,89.25428,87.72495378,0.382357262,2022.443634,7.03286,12.37926,10.89938,231.587172,4.71938,1.68131,4.54883,0.45782
1000362328,4/23/2025,4,16,64,39,FourSeamFastBall,92.53104,87.72495378,4.274602909,1979.199423,6.45912,5.90512,18.92096,198.570286,6.1619,0.77295,2.95373,-0.54118
826147,4/25/2025,4,16,64,128,FourSeamFastBall,90.20091,87.72495378,1.328987262,2212.485818,6.75089,11.87867,17.81162,215.593408,4.7592,1.52077,4.59094,-0.75739
1000392568,4/29/2025,4,16,64,286,FourSeamFastBall,90.42818,87.72495378,2.28375451,2538.737669,5.84211,10.3663,19.15391,210.080381,5.69094,1.83135,2.85318,0.57649
1000392568,5/15/2025,4,16,64,346,FourSeamFastBall,90.50068,87.72495378,2.35625451,2656.9401,5.77303,9.47752,20.74726,205.870383,5.74286,1.93987,2.12684,-0.2341
1000362327,8/30/2024,5,25,125,36,FourSeamFastBall,81.24067,87.68555667,-1.1191285,1954.920717,6.13942,-16.42379,7.04008,109.22932,4.13285,-2.86032,4.32235,0.72271
10128812,8/30/2024,5,25,125,120,FourSeamFastBall,83.4953,87.68555667,-0.461541667,1959.380173,6.20881,13.28646,15.34296,223.271536,5.40243,2.59373,2.41498,-0.32664
10005119,8/30/2024,5,25,125,129,FourSeamFastBall,89.42333,87.68555667,0.491833519,2334.770591,6.0672,-17.53052,13.6419,125.369256,5.93287,-1.09177,2.22747,-0.0031
1000125040,9/3/2024,5,25,125,3,FourSeamFastBall,88.90471,87.68555667,2.593518182,2168.388202,6.11201,-19.95855,7.78331,107.902822,5.16149,-2.96592,2.54134,-0.35535
1000309668,9/3/2024,5,25,125,33,FourSeamFastBall,90.38737,87.68555667,0.727373889,2205.694156,6.17698,10.56725,14.28217,218.804948,5.61073,1.71372,2.38945,-1.08871
823910,9/3/2024,5,25,125,79,FourSeamFastBall,87.70424,87.68555667,-0.098309224,2371.671256,5.45154,-15.14513,17.35308,136.515328,5.7348,-2.05987,1.77231,1.24735
1000362327,9/6/2024,5,25,125,74,FourSeamFastBall,80.04906,87.68555667,-2.3107385,1834.535319,5.5042,-6.6289,2.09721,96.551186,3.91189,-2.97523,2.56498,0.96921
1000125042,9/6/2024,5,25,125,140,FourSeamFastBall,87.24875,87.68555667,-0.944019524,1894.290491,5.74582,10.20504,6.8291,241.228931,5.40753,2.04359,1.65373,-1.20862
10005119,9/6/2024,5,25,125,183,FourSeamFastBall,88.69971,87.68555667,-0.231786481,1919.887512,6.38443,-15.42182,10.04272,120.096023,5.55361,-1.26519,0.23706,1.8525
1000309669,9/6/2024,5,25,125,130,FourSeamFastBall,83.33357,87.68555667,-0.965898182,1675.570499,6.17153,12.79847,18.43804,216.940027,5.87735,1.26736,3.5692,-0.71196
1000072064,9/6/2024,5,25,125,159,FourSeamFastBall,91.89615,87.68555667,1.159254444,1867.007646,6.22306,10.67599,10.83981,227.36184,5.26543,1.79846,2.46299,-1.01693
1000125040,9/9/2024,5,25,125,48,FourSeamFastBall,87.51405,87.68555667,1.202858182,2174.103204,5.93777,-21.98544,12.91764,117.718635,5.19576,-3.44556,3.48977,0.36009
1000309668,9/9/2024,5,25,125,69,FourSeamFastBall,88.49418,87.68555667,-1.165816111,2184.284419,6.04558,15.3793,14.47485,229.588738,5.70834,1.82855,3.54621,1.54226
